comment_id,comment,guess
Ugx5_KDt4zp2qIJ6q194AaABAg,"Other player : Lassi is a strong  pet 
Sumit : kuta bhot acha kam Kare hai😂😂😂😂😂😂😂😂",Comment about an entity
Ugx5_KDt4zp2qIJ6q194AaABAg.9Mxvf3OwPaZ9OIROvwJA-Q,First time I see sumit gave someone Hart 😲😲😲,Comment about a comment
Ugx5_KDt4zp2qIJ6q194AaABAg.9Mxvf3OwPaZ9N1OMEB0Vqi,bro when u realize that he didnt use yak and unicorn then also 3 star,Comment about an entity
Ugx5_KDt4zp2qIJ6q194AaABAg.9Mxvf3OwPaZ9N-tSp0Apyd,You're Lucky 🇮🇳 sumit bhai mughe ek heart detho❤❤❤,Comment about a comment
Ugx5_KDt4zp2qIJ6q194AaABAg.9Mxvf3OwPaZ9N-8MYtCnS8,@zhaxo jaroorat nahi hain get lost,Comment about a comment
Ugx5_KDt4zp2qIJ6q194AaABAg.9Mxvf3OwPaZ9N-3l-l62gJ,@Sarwar Ka Shagird isko dekh kar hi to mene apni padhayi start ki...taaki future aesa na ho😁😁😁,Comment about a comment
UgysXe-fzc-E_XWdQTt4AaABAg,Seeing sumit videos like watching a documentary 😂😂😂😂😂,Comment about video
UgysXe-fzc-E_XWdQTt4AaABAg.9MxvOwIzcSR9N9a7diV2MA,", I w",Comment about a comment
UgysXe-fzc-E_XWdQTt4AaABAg.9MxvOwIzcSR9N9a7Ja6x47,", I w",Comment about a comment
UgysXe-fzc-E_XWdQTt4AaABAg.9MxvOwIzcSR9N0tpB0M7_F,Me also sometimes I thought I am in the online classes 😂😂😂😂😂😂😂,Comment about a comment
UgysXe-fzc-E_XWdQTt4AaABAg.9MxvOwIzcSR9MzC2MhmFh_,😂😂😂,Comment about a comment
UgwB5M8TVjIWlOYY-nN4AaABAg,"Sumit is like daya's mom of TMKOC...
Because 
Sumit keeps different name of troops😂",Comment about an entity
UgwW3bbaeAEUixpWqCx4AaABAg,Sumit proved that he can take out anybase with hogs 😂,Comment about an entity
UgysQiWky9uqPbQnEeN4AaABAg,"Others:let's go
But, but ,but
Summit:let's guuuu😂🤣🤣🤣😂",Comment about video
UgysQiWky9uqPbQnEeN4AaABAg.9My77_K6YrD9MzC5FYT1FH,😂😂😂,Comment about a comment
Ugwdq8B3gkvW3sxBTlZ4AaABAg,Sumit is back with his football refree t-shirt😂😂😂😂😂,Comment about video
UgzpQXjW96si4bkN51R4AaABAg,Finally sumit is back with Ahrix New era,Comment about video
Ugx5jVamfPSpFupAVa54AaABAg,"Hogs are not unbeatable. Its you , you're unbeatable",Comment about an entity
UgyJX5rt1Rn2aoa-cOp4AaABAg,That last mass hog attack was so lit🔥🔥 lots of love from Nepal😇,Comment about an entity
Ugyv8Se940rPKgldR7J4AaABAg,"Finally,sumit is back with mass hogs",Comment about an entity
Ugyv8Se940rPKgldR7J4AaABAg.9Mxu5RmFQ4Y9MznvOMiPfo,@SanchiT h,Comment about a comment
